Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
Climb The Tower,Climb The Tower,,9,Intermediate,Kaizo,,,,
Coffee & TV,Coffee & TV,,11,Advanced,Kaizo,,,,
Coldsweat and Tears,Coldsweat and Tears,,10,Master,Kaizo,,,,
COLLAB,COLLAB,,11,Casual,Standard,,,,
Collection,Collection,,15,Casual,Standard,,,,
ColonThree,ColonThree,,2,Master,"Tool-Assisted, Pit",,,,
Colors [SMWC #],Colors,,22,Master,Kaizo,,,,
COLORS [SMWC #],COLORS,,5,Intermediate,Standard,,,,
COLORS 2,COLORS 2,,8,Intermediate,Standard,,,,
Colossus,Colossus,,95,Master,Standard,,,,
Combo Breaker,Combo Breaker,,18,Casual,Standard,,,,
"Combo Killer: Ultra Alpha Turbo HD Remix, Arcade Edition","Combo Killer: Ultra Alpha Turbo HD Remix, Arcade Edition",,36,Intermediate,"Kaizo, Tool-Assisted",,,,
Comfort Zone,Comfort Zone,,18,Expert,Kaizo,,,,
Commuter,Commuter,,13,Advanced,Kaizo,,,,
Contest Maniac,Contest Maniac,,4,Casual,Standard,,,,
Cool (Speedrun!),Cool (Speedrun!),,8,Intermediate,Standard,,,,
Cool or Cruel Stage 12 - Tubular,Cool or Cruel Stage 12 - Tubular,,1,Advanced,"Kaizo, Tool-Assisted",,,,
Cool Zone,Cool Zone,,16,Advanced,Kaizo,,,,
Copy and Paste,Copy and Paste,,4,Expert,Kaizo,,,,
Coriolis,Coriolis,,23,Expert,Kaizo,,,,
Cornucopia of Kaizo,Cornucopia of Kaizo,,27,Advanced,Kaizo,,,,
Cosmic Expedition,Cosmic Expedition,,45,Expert,Kaizo,,,,
CowaBunga,CowaBunga,,23,Expert,Kaizo,,,,
Crab Shells,Crab Shells,,14,Expert,Kaizo,,,,
Crash Bandicoot and the Retro Dimension,Crash Bandicoot and the Retro Dimension,,102,Intermediate,Standard,,,,
Crash Bandicoot and the Retro Dimension 2 - The Crystal Hunt,Crash Bandicoot and the Retro Dimension 2 - The Crystal Hunt,,120,Intermediate,Standard,,,,
Critter Quest,Critter Quest,,10,Advanced,Kaizo,,,,
Critter Quest Jr,Critter Quest Jr,,14,Advanced,Kaizo,,,,
CroNos Trigger,CroNos Trigger,,15,Expert,Kaizo,,,,
Crossfire,Crossfire,,22,Expert,Kaizo,,,,
Cruisy,Cruisy,,11,Advanced,Kaizo,,,,
Cube´s Kaizo World,Cube´s Kaizo World,,8,Expert,Kaizo,,,,
Cube´s Kaizo World 2,Cube´s Kaizo World 2,,9,Expert,Kaizo,,,,
Cube´s Kaizo World 3,Cube´s Kaizo World 3,,12,Expert,Kaizo,,,,
Cube´s Kaizo World 4,Cube´s Kaizo World 4,,13,Expert,Kaizo,,,,
Cube´s Kaizo World 5,Cube´s Kaizo World 5,,23,Master,Kaizo,,,,
Cute as Shell,Cute as Shell,,10,Advanced,Kaizo,,,,
Cute Kaizo World,Cute Kaizo World,,14,Advanced,Kaizo,,,,
Cuter Kaizo World,Cuter Kaizo World,,15,Advanced,Kaizo,,,,
Cygnus,Cygnus,,10,Expert,Kaizo,,,,
D.O.L.L.S.,D.O.L.L.S.,,0,Intermediate,Standard,,,,
DADDY,DADDY,,9,Expert,Kaizo,,,,
Daemon Land,Daemon Land,,8,Master,Kaizo,,,,
Daemon Land 2,Daemon Land 2,,10,Master,Kaizo,,,,
Daemon Land 3,Daemon Land 3,,8,Master,Kaizo,,,,
Daisy's Crazy Adventure,Daisy's Crazy Adventure,,17,Intermediate,Standard,,,,
Dancer to a Discordant System,Dancer to a Discordant System,,22,Expert,Kaizo,,,,
Danmaku Mario World,Danmaku Mario World,,0,Intermediate,Standard,,,,
Dark Shelly World,Dark Shelly World,,0,Master,Kaizo,,,,
Darkside 2,Darkside 2,,8,Expert,Kaizo,,,,
Darkstar,Darkstar,,18,Master,Kaizo,,,,
Day at the races,Day at the races,,1,Intermediate,Kaizo,,,,
Day At The Turkey Races,Day At The Turkey Races,,12,Expert,Kaizo,,,,
Day In The Life,Day In The Life,,10,Expert,Kaizo,,,,
Day of the Muncher,Day of the Muncher,,4,Casual,Standard,,,,
Daymaker: Release From Doomsday,Daymaker: Release From Doomsday,,89,Casual,Standard,,,,
Dead Man's Quest - Vagabond to Phantlore Island,Dead Man's Quest - Vagabond to Phantlore Island,,18,Intermediate,Standard,,,,
Dead-Man Mario World,Dead-Man Mario World,,7,Casual,Standard,,,,
Dearly Detested,Dearly Detested,,0,Master,Kaizo,,,,
Death of a Plumber,Death of a Plumber,,23,Expert,Kaizo,,,,
Death Zone,Death Zone,,11,Advanced,"Kaizo, Tool-Assisted",,,,
Deathshredder,Deathshredder,,1,Expert,Kaizo,,,,
DeClock Mario World Remastered,DeClock Mario World Remastered,,20,Expert,Kaizo,,,,
Deep In The Island,Deep In The Island,,7,Intermediate,Standard,,,,
DeepDreamWorld,DeepDreamWorld,,22,Advanced,Kaizo,,,,
DEEZ shells,DEEZ shells,,17,Expert,Kaizo,,,,
Deja Vu,Deja Vu,,10,Expert,Kaizo,,,,
Delirious Mario,Delirious Mario,,5,Master,Kaizo,,,,
Delirium,Delirium,,9,Expert,Kaizo,,,,
Demonsul's Fortress,Demonsul's Fortress,,1,Intermediate,Standard,,,,
Denali's Tail,Denali's Tail,,10,Expert,"Standard, Kaizo",,,,
Desert Traveling,Desert Traveling,,1,Newcomer,Standard,,,,
Devil's Asylum,Devil's Asylum,,2,Intermediate,Standard,,,,
Diffidence,Diffidence,,20,Expert,Kaizo,,,,
Digital Rage World,Digital Rage World,,15,Advanced,Kaizo,,,,
Dim Spirits: In-Blood - Complete Edition,Dim Spirits: In-Blood - Complete Edition,,5,Expert,Kaizo,,,,
DINGS,DINGS,,3,Casual,Standard,,,,
Dininho World,Dininho World,,9,Expert,Kaizo,,,,
Dinomar: Adventure of a SMWCentral User,Dinomar: Adventure of a SMWCentral User,,20,Casual,Standard,,,,
Disk Defrag,Disk Defrag,,12,Advanced,Standard,,,,
Do The Mario,Do The Mario,,8,Intermediate,Standard,,,,
domenyX Christmas,domenyX Christmas,,8,Casual,Standard,,,,
domenyX Generations,domenyX Generations,,30,Intermediate,Standard,,,,
domenyX vs Coronavirus,domenyX vs Coronavirus,,21,Intermediate,Standard,,,,
domenyX: Trouble in Paradise,domenyX: Trouble in Paradise,,12,Intermediate,Standard,,,,
Dongs! The Hack,Dongs! The Hack,,5,Newcomer,Standard,,,,
Donkey Kong 2: The Rise of Jumpman!,Donkey Kong 2: The Rise of Jumpman!,,4,Intermediate,Standard,,,,
Donkey Kong 3: Another Rise!,Donkey Kong 3: Another Rise!,,4,Intermediate,Standard,,,,
Donkey Kong 4: Rise and Repeat,Donkey Kong 4: Rise and Repeat,,4,Intermediate,Standard,,,,
Don't Dig Down,Don't Dig Down,,2,Intermediate,"Standard, Kaizo",,,,
Don't Panic,Don't Panic,,11,Expert,Kaizo,,,,
Don't Spare the Horses,Don't Spare the Horses,,8,Master,Kaizo,,,,
Doodlebob's Revenge,Doodlebob's Revenge,,1,Intermediate,Standard,,,,
Doomscroll,Doomscroll,,19,Expert,Kaizo,,,,
Dooooors,Dooooors,,21,Advanced,Kaizo,,,,
Doopliss Revenge,Doopliss Revenge,,4,Casual,Standard,,,,
Doro Chill,Doro Chill,,17,Intermediate,Kaizo,,,,
Doro Kaizo,Doro Kaizo,,20,Expert,Kaizo,,,,
Double Jump Man,Double Jump Man,,16,Master,Kaizo,,,,
Dr. Mario World Redrawn,Dr. Mario World Redrawn,,60,Casual,Standard,,,,
Dreadshredder,Dreadshredder,,5,Master,Kaizo,,,,
Dream Collider,Dream Collider,,0,Expert,Kaizo,,,,
Dream Eater,Dream Eater,,11,Expert,Kaizo,,,,
Dreams,Dreams,,15,Advanced,Kaizo,,,,
Dreza Demo 1st Public Release,Dreza Demo 1st Public Release,,5,Expert,Kaizo,,,,
Drive the Desert Bus,Drive the Desert Bus,,2,Intermediate,Standard,,,,
Drkrdnk World,Drkrdnk World,,25,Advanced,Kaizo,,,,
Duck Island,Duck Island,,4,Advanced,Kaizo,,,,
Duck Season,Duck Season,,11,Master,Kaizo,,,,
dumb,dumb,,38,Advanced,Standard,,,,
Dusty Shells,Dusty Shells,,10,Master,Kaizo,,,,
Dynamic Mario,Dynamic Mario,,10,Advanced,Kaizo,,,,
Dynasty's Choconilla Seasons Hack,Dynasty's Choconilla Seasons Hack,,4,Casual,Standard,,,,
Dysphoria,Dysphoria,,7,Expert,Kaizo,,,,
Easy One Screen Puzzle,Easy One Screen Puzzle,,1,Master,"Tool-Assisted, Pit",,,,
Easy Two Screen Puzzle,Easy Two Screen Puzzle,,3,Grandmaster,"Tool-Assisted, Pit",,,,
Easyland,Easyland,,14,Intermediate,Kaizo,,,,
Easyland 2,Easyland 2,,16,Intermediate,Kaizo,,,,
Easyland 3,Easyland 3,,19,Advanced,Kaizo,,,,
echoestopia,echoestopia,,0,Intermediate,Kaizo,,,,
Eclectic Shell,Eclectic Shell,,12,Intermediate,Kaizo,,,,
EF Land,EF Land,,6,Newcomer,Standard,,,,
Effortworld,Effortworld,,57,Expert,Standard,,,,
EGO WORLD,EGO WORLD,,10,Advanced,Kaizo,,,,
Eh,Eh,,8,Expert,Kaizo,,,,
Eidolon,Eidolon,,50,Master,"Standard, Kaizo",,,,
Eikro: The Children of Darloum,Eikro: The Children of Darloum,,19,Expert,Kaizo,,,,
El Dorado,El Dorado,,10,Expert,Kaizo,,,,
Electra,Electra,,8,Casual,Standard,,,,
Elephants and Snakes and Crocodiles,Elephants and Snakes and Crocodiles,,13,Master,Kaizo,,,,
Elysium Shells,Elysium Shells,,11,Expert,Kaizo,,,,
Empyrean,Empyrean,,12,Expert,Kaizo,,,,
Endeavor,Endeavor,,12,Expert,Kaizo,,,,
Enter the Gizzverse,Enter the Gizzverse,,9,Expert,Kaizo,,,,
Enter the Void,Enter the Void,,10,Expert,Kaizo,,,,
Entropy,Entropy,,16,Expert,Kaizo,,,,
EP,EP,,7,Casual,Standard,,,,
Epic Gamer World,Epic Gamer World,,8,Expert,Kaizo,,,,
Epiphany,Epiphany,,21,Expert,Kaizo,,,,
Eroi del passato,Eroi del passato,,8,Expert,Kaizo,,,,
Escape from Kudzu Planet,Escape from Kudzu Planet,,13,Advanced,Kaizo,,,,
ESCAPE FROM LA PLUME,ESCAPE FROM LA PLUME,,9,Advanced,Kaizo,,,,
Eternal Mario World,Eternal Mario World,,4,Expert,Kaizo,,,,
Eternal Nightfall,Eternal Nightfall,,5,Casual,Standard,,,,
Eudaimonia,Eudaimonia,,10,Expert,Kaizo,,,,
Euphoria Isle,Euphoria Isle,,12,Casual,Standard,,,,
EVERY LEVEL IGGY!,EVERY LEVEL IGGY!,,7,Casual,Standard,,,,
EVERY LEVEL LEMMY!,EVERY LEVEL LEMMY!,,10,Casual,Standard,,,,
EVERY LEVEL LUDWIG!,EVERY LEVEL LUDWIG!,,9,Intermediate,Standard,,,,
EVERY LEVEL MORTON!,EVERY LEVEL MORTON!,,9,Casual,Standard,,,,
Everyone's Gone,Everyone's Gone,,3,Casual,"Standard, Puzzle",,,,
Everything Is Not All Right,Everything Is Not All Right,,11,Advanced,Kaizo,,,,
Evil Conquest,Evil Conquest,,63,Expert,Standard,,,,
Evil Doopu World,Evil Doopu World,,6,Expert,Kaizo,,,,
Evil Doopu World 2,Evil Doopu World 2,,7,Master,Kaizo,,,,
Evolve or Die,Evolve or Die,,3,Advanced,"Standard, Kaizo",,,,
EVW,EVW,,15,Intermediate,Standard,,,,
Exodius,Exodius,,21,Expert,Kaizo,,,,
Exshellsior,Exshellsior,,9,Expert,Kaizo,,,,
Extended Interactions,Extended Interactions,,24,Expert,Kaizo,,,,
Extinction Rebellion,Extinction Rebellion,,10,Advanced,Kaizo,,,,
Extreme One-Screen Puzzle,Extreme One-Screen Puzzle,,1,Advanced,"Kaizo, Tool-Assisted",,,,
EY JUICE,EY JUICE,,29,Advanced,Kaizo,,,,
Eyeless: Director's Cut + Original,Eyeless: Director's Cut + Original,,5,Casual,Standard,,,,
EZ Kaizo,EZ Kaizo,,15,Intermediate,Kaizo,,,,
Facedesk!,Facedesk!,,9,Advanced,"Kaizo, Tool-Assisted",,,,
Fail World,Fail World,,27,Master,Kaizo,,,,
Fall Guys World,Fall Guys World,,19,Intermediate,Standard,,,,
Fantasia,Fantasia,,21,Master,Kaizo,,,,
"Far a day, near dismay","Far a day, near dismay",,10,Master,Kaizo,,,,
Fast Food Kaizo,Fast Food Kaizo,,5,Expert,Kaizo,,,,
Father's Gift,Father's Gift,,24,Intermediate,Kaizo,,,,
Fedora,Fedora,,1,Expert,Kaizo,,,,
Feginner,Feginner,,11,Advanced,Kaizo,,,,
Final Fantasy: Super Moogle World,Final Fantasy: Super Moogle World,,60,Casual,Standard,,,,
Fire and Ice,Fire and Ice,,19,Master,Kaizo,,,,
First Foray,First Foray,,5,Casual,Standard,,,,
First Step Forward,First Step Forward,,11,Advanced,Kaizo,,,,
Fishing Season 2,Fishing Season 2,,14,Casual,Standard,,,,
Flip The Switch,Flip The Switch,,7,Master,Kaizo,,,,
FLOATING MUNCHERS SERIES?,FLOATING MUNCHERS SERIES?,,2,Advanced,Standard,,,,
FloMcNasty World,FloMcNasty World,,11,Advanced,Kaizo,,,,
Fly Me To The Stars,Fly Me To The Stars,,6,Master,Kaizo,,,,
Flying With Style,Flying With Style,,7,Master,Kaizo,,,,
F-Mario: Galaxy Cup,F-Mario: Galaxy Cup,,12,Intermediate,Standard,,,,
For Dan,For Dan,,25,Advanced,Kaizo,,,,
Forer - Barnum,Forer - Barnum,,13,Expert,Kaizo,,,,
forest of illusion 4,forest of illusion 4,,0,Master,Kaizo,,,,
Forever,Forever,,11,Advanced,Kaizo,,,,
Forgotten Town,Forgotten Town,,9,Intermediate,Standard,,,,
ForgottenWorld,ForgottenWorld,,10,Advanced,Kaizo,,,,
Foxx BGG World - KSD Edition,Foxx BGG World - KSD Edition,,17,Advanced,Kaizo,,,,
Foxx BGN World,Foxx BGN World,,17,Intermediate,Kaizo,,,,
Fragaria 🍓,Fragaria 🍓,,15,Advanced,Kaizo,,,,
Freak City,Freak City,,92,Advanced,Standard,,,,
Free Luigi,Free Luigi,,9,Intermediate,"Standard, Kaizo",,,,
Free Verse For Sara,Free Verse For Sara,,1,Master,Kaizo,,,,
French Fries & French Toast,French Fries & French Toast,,15,Expert,Kaizo,,,,
French SMW Hacking Contest 2008,French SMW Hacking Contest 2008,,11,Casual,Standard,,,,
Fresh Hops,Fresh Hops,,14,Advanced,Kaizo,,,,
Fresh Hops 2,Fresh Hops 2,,36,Expert,Kaizo,,,,
Friday Mario World,Friday Mario World,,11,Expert,Kaizo,,,,
From Heaven To Hell,From Heaven To Hell,,14,Expert,Kaizo,,,,
From World to World,From World to World,,5,Casual,Standard,,,,
Fulfill the Dream,Fulfill the Dream,,22,Expert,Kaizo,,,,
Full Bloom,Full Bloom,,13,Advanced,Kaizo,,,,
Future Elliotto World,Future Elliotto World,,19,Expert,Kaizo,,,,
GADZOOKS,GADZOOKS,,30,Expert,Kaizo,,,,
Gaia,Gaia,,23,Advanced,Kaizo,,,,
Gaijin Mario,Gaijin Mario,,8,Master,Kaizo,,,,
Gambit,Gambit,,21,Expert,Kaizo,,,,
Gambol,Gambol,,11,Advanced,Kaizo,,,,
Gambol 2,Gambol 2,,18,Expert,Kaizo,,,,
game.bps,game.bps,,0,Advanced,Standard,,,,
Gameboy Bros. 3!,Gameboy Bros. 3!,,7,Intermediate,Standard,,,,
Ganja World,Ganja World,,0,Expert,Kaizo,,,,
GARLIC,GARLIC,,12,Master,Kaizo,,,,
Gas Pack,Gas Pack,,0,Advanced,Kaizo,,,,
Gauntlet,Gauntlet,,7,Intermediate,Standard,,,,
Gauntlet 2,Gauntlet 2,,7,Intermediate,Standard,,,,
Gemstones,Gemstones,,2,Grandmaster,Kaizo,,,,
Get Busy Jumping Or Get Busy Dying,Get Busy Jumping Or Get Busy Dying,,12,Expert,Kaizo,,,,
Get On Up!,Get On Up!,,19,Expert,Kaizo,,,,
Get Rich Quick,Get Rich Quick,,32,Advanced,"Standard, Kaizo",,,,
G-FazO,G-FazO,,7,Expert,Kaizo,,,,
Giggle world,Giggle world,,27,Intermediate,Standard,,,,
Glow,Glow,,28,Advanced,Standard,,,,
God do Shell,God do Shell,,11,Expert,Kaizo,,,,
Goku86,Goku86,,20,Expert,Kaizo,,,,
GOMBA and stuff,GOMBA and stuff,,14,Grandmaster,Kaizo,,,,
good old days,good old days,,10,Advanced,Standard,,,,
good old days 2,good old days 2,,9,Advanced,Standard,,,,
good old days 3,good old days 3,,19,Expert,"Standard, Kaizo",,,,
good old days 4,good old days 4,,42,Expert,"Standard, Kaizo",,,,
good old days: recycle bin,good old days: recycle bin,,18,Advanced,Standard,,,,
Good Question!,Good Question!,,6,Intermediate,Standard,,,,
Goombario's World,Goombario's World,,8,Newcomer,Standard,,,,
Goukie's Palace,Goukie's Palace,,1,Intermediate,"Kaizo, Tool-Assisted",,,,
Grand Poo World,Grand Poo World,,21,Master,Kaizo,,,,
Grand Poo World 2,Grand Poo World 2,,23,Master,Kaizo,,,,
Grand Troll World 1,Grand Troll World 1,,6,Intermediate,Kaizo,,,,
GrandChaos' Mario World,GrandChaos' Mario World,,13,Newcomer,Standard,,,,
Gratitude,Gratitude,,16,Expert,Kaizo,,,,
Green Cavern,Green Cavern,,3,Grandmaster,"Kaizo, Tool-Assisted",,,,
Gregor's New Super Mario World,Gregor's New Super Mario World,,15,Casual,Standard,,,,
Grenudo Planet 3,Grenudo Planet 3,,21,Advanced,Kaizo,,,,
Greñudo planet2 Lucas´s revenge,Greñudo planet2 Lucas´s revenge,,15,Expert,Kaizo,,,,
GREÑUDOS PLANET,GREÑUDOS PLANET,,10,Advanced,Kaizo,,,,
Grey Eminence,Grey Eminence,,34,Advanced,Standard,,,,
Griffy World,Griffy World,,19,Expert,Kaizo,,,,
Groovy,Groovy,,1,Advanced,Kaizo,,,,
Gynura,Gynura,,16,Advanced,Kaizo,,,,
H&SB2 - Twilight Gem:  Hunter's Quest,H&SB2 - Twilight Gem:  Hunter's Quest,,43,Intermediate,Standard,,,,
H&SB2 - Twilight Gem: Scorpion's Hunt,H&SB2 - Twilight Gem: Scorpion's Hunt,,53,Intermediate,Standard,,,,
Hack,Hack,,9,Casual,Standard,,,,
Hack 0,Hack 0,,7,Advanced,Standard,,,,
Hack 0 2,Hack 0 2,,5,Intermediate,Standard,,,,
Hack 0 3,Hack 0 3,,12,Intermediate,Standard,,,,
Hack -1,Hack -1,,9,Intermediate,Standard,,,,
Hack 1 2,Hack 1 2,,10,Intermediate,Standard,,,,
Hack -1 2,Hack -1 2,,7,Casual,Standard,,,,
Hack 1 2 2,Hack 1 2 2,,10,Intermediate,Standard,,,,
Hack 1 2 3,Hack 1 2 3,,10,Intermediate,Standard,,,,
Hack 2,Hack 2,,20,Intermediate,Standard,,,,
Hack 25,Hack 25,,6,Intermediate,Standard,,,,
Hack 3,Hack 3,,15,Casual,Standard,,,,
Hack 4,Hack 4,,11,Casual,Standard,,,,
Hack 5,Hack 5,,14,Casual,Standard,,,,
Hack 6,Hack 6,,11,Intermediate,Standard,,,,
Hack 7,Hack 7,,10,Intermediate,Standard,,,,
Hack 8,Hack 8,,10,Intermediate,Standard,,,,
Hack for a dying culture,Hack for a dying culture,,7,Master,Kaizo,,,,
Hack: Greatest Hits,Hack: Greatest Hits,,27,Intermediate,"Standard, Kaizo",,,,
Hack: Greatest Hits Xtreme!,Hack: Greatest Hits Xtreme!,,20,Intermediate,Kaizo,,,,
Hackers Dreams : Going Too Far,Hackers Dreams : Going Too Far,,1,Master,Kaizo,,,,
Hackers Dreams : Pipe Dream,Hackers Dreams : Pipe Dream,,1,Master,Kaizo,,,,
Hage World,Hage World,,13,Expert,Kaizo,,,,
Hage World 2,Hage World 2,,23,Expert,Kaizo,,,,
Hakurankai Mario,Hakurankai Mario,,5,Casual,Standard,,,,
Hallowed Ground,Hallowed Ground,,14,Expert,Kaizo,,,,
Halloween Hack,Halloween Hack,,7,Intermediate,Standard,,,,
Halloween in the Mushroom Kingdom,Halloween in the Mushroom Kingdom,,3,Casual,Standard,,,,
Halloween Islands,Halloween Islands,,8,Intermediate,Kaizo,,,,
Halloween Kaizo World,Halloween Kaizo World,,5,Advanced,Kaizo,,,,
Halo 14 - Definitive Edition,Halo 14 - Definitive Edition,,23,Expert,Kaizo,,,,
Halo 14 - Side A,Halo 14 - Side A,,12,Expert,Kaizo,,,,
Halo 14 - Side B,Halo 14 - Side B,,11,Expert,Kaizo,,,,
Hammer Time,Hammer Time,,23,Advanced,Kaizo,,,,
Hangin With Mr. Koopa,Hangin With Mr. Koopa,,10,Advanced,Kaizo,,,,
Hangin With Mr. Koopa 2: All Vanilla No Filla,Hangin With Mr. Koopa 2: All Vanilla No Filla,,9,Advanced,Kaizo,,,,
Hardcore Mario,Hardcore Mario,,5,Grandmaster,Kaizo,,,,
Harmful,Harmful,,17,Master,Kaizo,,,,
Häschen [hɛʃn̩],Häschen [hɛʃn̩],,28,Intermediate,Standard,,,,
Hazuka World,Hazuka World,,5,Advanced,Kaizo,,,,
Heat Wave,Heat Wave,,19,Advanced,Kaizo,,,,
Heavenly Host,Heavenly Host,,0,Advanced,Kaizo,,,,
Heavenly host 2 : Master class,Heavenly host 2 : Master class,,0,Advanced,Kaizo,,,,
Heavenly host 3 : Forever faithful,Heavenly host 3 : Forever faithful,,0,Advanced,Kaizo,,,,
Heckin' Spoop World,Heckin' Spoop World,,13,Advanced,Standard,,,,
Hell Wizardry: functional overworld edition,Hell Wizardry: functional overworld edition,,16,Expert,Kaizo,,,,
Hertz Donut,Hertz Donut,,16,Intermediate,"Kaizo, Tool-Assisted",,,,
Hi!,Hi!,,14,Master,Kaizo,,,,
Hidden Dream in the Deep Time,Hidden Dream in the Deep Time,,12,Expert,Kaizo,,,,
Home,Home,,6,Expert,Kaizo,,,,
Hope's Wind,Hope's Wind,,13,Advanced,Kaizo,,,,
Hops' Great Adventure,Hops' Great Adventure,,11,Master,Kaizo,,,,
Horrifying Mario World,Horrifying Mario World,,20,Intermediate,"Kaizo, Tool-Assisted",,,,
HotHead Heights,HotHead Heights,,7,Advanced,Kaizo,,,,
Hourglass Twist,Hourglass Twist,,13,Master,"Kaizo, Puzzle",,,,
House of King Boo,House of King Boo,,1,Expert,Kaizo,,,,
How I Learned to Stop Worrying and Love the Bob-omb,How I Learned to Stop Worrying and Love the Bob-omb,,5,Casual,Standard,,,,
how long do snails sleep (vanilla),how long do snails sleep (vanilla),,0,Advanced,Kaizo,,,,
How NOT to Kaizo,How NOT to Kaizo,,8,Intermediate,"Kaizo, Tool-Assisted",,,,
Hummer Super Mario World,Hummer Super Mario World,,28,Casual,Standard,,,,
Hunter & SCORPION's Bet Saga - SCORPION's Ravage,Hunter & SCORPION's Bet Saga - SCORPION's Ravage,,62,Intermediate,Standard,,,,
Hunter and Scorpion's Bet ReVised - Hunter's Path,Hunter and Scorpion's Bet ReVised - Hunter's Path,,27,Intermediate,Standard,,,,
Hydro,Hydro,,17,Expert,Kaizo,,,,
Hyper Hentai Hotties,Hyper Hentai Hotties,,7,Casual,Standard,,,,
Hyperexcitability,Hyperexcitability,,1,Master,Kaizo,,,,
HYPERION,HYPERION,,28,Advanced,Kaizo,,,,
Hypnagogia,Hypnagogia,,3,Master,Kaizo,,,,
HYSTERIA,HYSTERIA,,14,Advanced,Kaizo,,,,
I Come In Peace,I Come In Peace,,22,Casual,Standard,,,,
I HATE YOU,I HATE YOU,,2,Newcomer,Standard,,,,
I Wanna Be The ROM Hack: Prototype,I Wanna Be The ROM Hack: Prototype,,1,Advanced,"Standard, Kaizo",,,,
Icarus,Icarus,,8,Expert,Kaizo,,,,
Ides of March,Ides of March,,20,Expert,Kaizo,,,,
Ides of March 2: Dogs of War,Ides of March 2: Dogs of War,,21,Expert,Kaizo,,,,
Ieo,Ieo,,9,Casual,Standard,,,,
Iggy's Island,Iggy's Island,,6,Newcomer,Standard,,,,
Il Maniero Spettrale (Halloween 2018 Version),Il Maniero Spettrale (Halloween 2018 Version),,1,Casual,Standard,,,,
Illuminati,Illuminati,,6,Expert,Kaizo,,,,
Ilusiyellow?,Ilusiyellow?,,1,Casual,Standard,,,,
Immitis,Immitis,,6,Expert,Kaizo,,,,
In A Random Adventure,In A Random Adventure,,6,Casual,Standard,,,,
In Absentia of Knowing,In Absentia of Knowing,,1,Grandmaster,Kaizo,,,,
In Memoriam Hack Pack,In Memoriam Hack Pack,,11,Casual,Standard,,,,
In the Pocket,In the Pocket,,25,Expert,Kaizo,,,,
In Triplicate,In Triplicate,,10,Expert,Kaizo,,,,
Inane Mario World,Inane Mario World,,19,Master,Kaizo,,,,
Inappropriate Jetski 19,Inappropriate Jetski 19,,12,Casual,Standard,,,,
INCEPTION,INCEPTION,,17,Master,Kaizo,,,,
INCEPTION II,INCEPTION II,,20,Master,Kaizo,,,,
Incredibous Shells,Incredibous Shells,,15,Master,Kaizo,,,,
Incredibous Shells 2,Incredibous Shells 2,,12,Master,Kaizo,,,,
Inert Aeronaut,Inert Aeronaut,,11,Expert,Kaizo,,,,
INFERNVM,INFERNVM,,69,Expert,Kaizo,,,,
Infinity Edge,Infinity Edge,,32,Intermediate,Standard,,,,
Initiation,Initiation,,15,Advanced,Kaizo,,,,
Initiation 2 Da_Queest,Initiation 2 Da_Queest,,27,Expert,Kaizo,,,,
Insert Coin,Insert Coin,,1,Casual,Standard,,,,
INSOMNIA,INSOMNIA,,17,Expert,Kaizo,,,,
Insouciant Mario,Insouciant Mario,,8,Master,Kaizo,,,,
Interesting Kaizo World,Interesting Kaizo World,,22,Expert,Kaizo,,,,
Intershellar,Intershellar,,15,Expert,Kaizo,,,,
Intrigue of Kittens,Intrigue of Kittens,,5,Advanced,Kaizo,,,,
Invictus,Invictus,,22,Expert,Kaizo,,,,
Iridium,Iridium,,17,Expert,Kaizo,,,,
Item Abuse,Item Abuse,,1,Expert,"Tool-Assisted, Pit",,,,
Item Abuse 3,Item Abuse 3,,1,Grandmaster,"Tool-Assisted, Pit",,,,
It's another hack with Mario in it! Yay!,It's another hack with Mario in it! Yay!,,41,Casual,Standard,,,,
